Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goals tot,Assists tot,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammonizioni,Espulsioni,Autogoal
4494,D,EMPEREUR,Verona,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
4495,D,KUMBULLA,Roma,2,6.25,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0
4498,C,HENDERSON L.,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500,A,DI CARMINE,Verona,2,5.25,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
4501,C,OBIANG,Sassuolo,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4510,A,RAFAEL LEAO,Milan,2,7.5,13.5,2,0,2,0,0,0,0,0,0,0,1,0,0
4511,D,DUARTE,Milan,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4512,C,SCHONE,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4514,C,NANDEZ,Cagliari,3,5.83,5.67,0,0,0,0,0,0,0,0,0,0,1,0,0
4515,C,AGUDELO,Spezia,2,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0
4517,A,LOZANO,Napoli,2,7.0,10.0,2,0,2,0,0,0,0,0,0,0,0,0,0
4519,D,CETIN,Verona,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4520,P,LETICA,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4521,D,MULDUR,Sassuolo,3,5.83,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0
4522,C,AMRABAT,Fiorentina,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
4523,P,AVOGADRI,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4529,D,ANKERSEN,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4530,D,KYRIAKOPOULOS,Sassuolo,3,6.33,6.17,0,0,0,0,0,0,0,0,0,0,1,0,0
4661,A,OSIMHEN,Napoli,2,6.5,6.75,0,1,0,0,0,0,0,0,1,0,1,0,0
4681,C,LOPEZ M.,Sassuolo,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4725,C,DEMME,Napoli,1,6.0,5.5,0,0,0,0,0,0,0,0,0,0,1,0,0
4825,C,DIAZ B.,Milan,3,6.5,7.5,1,0,1,0,0,0,0,0,0,0,0,0,0
4862,A,DIALLO,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4867,P,TURATI,Sassuolo,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4869,C,DOMINGUEZ,Bologna,1,5.0,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0
4881,D,CZYBORRA,Genoa,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4883,P,BREZA,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4884,A,CARLES PEREZ,Roma,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4885,C,VILLAR,Roma,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4886,C,PEREIRO,Cagliari,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4887,D,BELLANOVA,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4888,D,SUTALO,Atalanta,2,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4890,C,TAMEZE,Verona,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4892,C,SAELEMAEKERS,Milan,3,6.33,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0
4894,A,HARASLIN,Sassuolo,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
4895,D,YOSHIDA,Sampdoria,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0
4896,C,MALDINI,Milan,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4897,D,PIROLA,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
