,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
74,256,D,JUAN JESUS,Roma,4,5.0,4.67,0,0,0,0,0,0,0,0,2,0,0
75,259,D,MURILLO,Sampdoria,10,5.5,5.33,0,0,0,0,0,0,0,0,1,1,0
76,261,D,RANOCCHIA,Inter,7,6.21,6.0,0,0,0,0,0,0,0,0,3,0,0
77,262,D,SANTON,Roma,15,5.73,5.59,0,0,0,0,0,0,0,0,4,0,0
85,286,D,BONUCCI,Juventus,35,6.27,6.4,3,0,0,0,0,0,0,0,9,0,0
86,287,D,CACERES,Fiorentina,27,5.98,5.91,1,0,0,0,0,0,0,0,8,1,0
87,288,D,CHIELLINI,Juventus,4,6.12,6.88,1,0,0,0,0,0,0,0,0,0,0
88,294,D,RUGANI,Juventus,10,5.31,5.19,0,0,0,0,0,0,0,0,2,0,0
89,295,D,ASAMOAH,Inter,8,6.12,6.19,0,0,0,0,0,0,1,0,1,0,0
100,322,D,DE VRIJ,Inter,34,6.29,6.6,4,0,0,0,0,0,1,0,5,0,0
101,327,D,PATRIC,Lazio,21,5.83,5.74,0,0,0,0,0,0,0,0,2,1,0
102,329,D,RADU,Lazio,29,5.93,5.9,1,0,0,0,0,0,0,0,8,0,0
109,357,D,CALABRIA,Milan,25,5.76,5.8,1,0,0,0,0,0,1,0,2,2,0
110,358,D,DE SCIGLIO,Juventus,9,6.0,5.93,0,0,0,0,0,0,0,0,1,0,0
111,365,D,ZAPATA C.,Genoa,20,5.66,5.61,1,0,0,0,0,0,0,0,4,0,1
122,390,D,GHOULAM,Napoli,9,5.94,5.94,0,0,0,0,0,0,0,1,2,0,0
123,392,D,KOULIBALY,Napoli,25,5.88,5.62,0,0,0,0,0,0,0,0,7,1,1
124,393,D,LUPERTO,Napoli,9,5.64,5.5,0,0,0,0,0,0,0,0,2,0,0
125,395,D,STRINIC,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
134,418,D,GOLDANIGA,Genoa,13,5.59,5.68,1,0,0,0,0,0,0,0,4,0,0
135,423,D,RISPOLI,Lecce,28,5.66,5.54,0,0,0,0,0,0,0,0,6,0,0
143,454,D,CAPRADOSSI,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
144,457,D,CRESCENZI,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
145,459,D,MANOLAS,Napoli,26,5.98,6.42,4,0,0,0,0,0,0,0,2,0,0
146,460,D,ROMAGNOLI,Milan,35,6.11,6.14,1,0,0,0,0,0,0,0,4,0,0
147,464,D,FLORENZI,Roma,14,6.0,5.88,0,0,0,0,0,0,1,0,5,0,0
154,487,D,DE SILVESTRI,Torino,29,5.77,5.73,0,0,0,0,0,0,0,0,2,0,0
155,490,D,REGINI,Parma,5,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0
156,491,D,SALAMON,SPAL,7,5.6,5.5,0,0,0,0,0,0,0,0,1,0,0
157,493,D,ZUKANOVIC,SPAL,3,5.67,5.5,0,0,0,0,0,0,0,0,1,0,0
164,513,D,ACERBI,Lazio,36,6.26,6.43,2,0,0,0,0,0,2,0,4,0,0
165,517,D,DELL'ORCO,Lecce,13,5.46,5.46,0,0,0,0,0,0,1,0,0,1,0
166,519,D,GAZZOLA,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
167,521,D,PELUSO,Sassuolo,23,5.4,5.28,0,0,0,0,0,0,1,0,5,1,0
180,546,D,BRUNO PERES,Roma,16,6.03,6.47,2,0,0,0,0,0,2,0,3,0,0
181,550,D,MAKSIMOVIC,Napoli,22,5.86,6.0,1,0,0,0,0,0,1,0,2,0,0
182,554,D,ZAPPACOSTA,Roma,9,5.72,5.83,0,0,0,0,0,0,1,0,0,0,0
189,578,D,DANILO LAR.,Bologna,30,5.95,5.97,2,0,0,0,0,0,0,0,9,1,0
