,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
659,4500,A,DI CARMINE,Verona,22,5.95,6.88,7,0,0,2,1,1,0,0,3,0,0
663,4505,A,KOFFI,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
665,4507,A,TUTINO,Verona,6,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
666,4508,A,BAHLOULI,Sampdoria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
668,4510,A,RAFAEL LEAO,Milan,31,6.07,6.78,6,0,0,0,0,0,1,0,0,0,0
675,4517,A,LOZANO,Napoli,26,5.92,6.4,4,0,0,0,0,0,1,0,3,0,0
685,4527,A,PEDRO G.,Fiorentina,4,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
690,4862,A,TRAORE' AM.,Atalanta,3,7.0,10.0,1,0,0,0,0,0,0,0,0,0,0
691,4865,A,CLEONISE,Genoa,4,6.0,6.0,0,0,0,0,0,0,0,0,2,0,0
692,4866,A,DUBICKAS,Lecce,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
698,4879,A,SKRABB,Brescia,10,5.69,5.69,0,0,0,0,0,0,0,0,1,0,0
703,4884,A,CARLES PEREZ,Roma,14,5.96,6.38,1,0,0,0,0,0,2,1,2,0,0
712,4894,A,HARASLIN,Sassuolo,11,6.06,6.44,1,0,0,0,0,0,1,0,1,0,0
722,4923,A,COLOMBO,Milan,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
726,4928,A,OLIVIERI,Juventus,3,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
729,4931,A,D'AMICO,Sampdoria,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
734,4936,A,MANZARI,Sassuolo,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
736,4938,A,MORO,Lazio,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
737,4939,A,CUELLAR,SPAL,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
738,4940,A,GAGLIANO,Cagliari,2,7.5,11.5,1,0,0,0,0,0,1,0,0,0,0
746,4948,A,VRIONI,Juventus,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
