,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
448,2742,C,VALZANIA,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
450,2744,C,SVANBERG,Bologna,25,5.94,6.11,1,0,0,0,0,0,1,0,2,0,0
459,2760,C,CALLEGARI,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
463,2766,C,ZANIOLO,Roma,26,6.16,6.8,6,0,0,0,0,0,2,0,8,0,0
466,2771,C,BERISHA V.,Lazio,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
469,2775,C,RUIZ,Napoli,33,5.97,6.39,3,0,0,0,0,0,6,0,2,0,0
470,2776,C,YOUNES,Napoli,9,5.88,6.5,1,0,0,0,0,0,0,0,1,0,0
471,2779,C,KLUIVERT,Roma,22,6.05,6.48,4,0,0,0,0,0,0,0,4,1,0
472,2780,C,CORIC,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
476,2785,C,PEETERS,Juventus,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
479,2789,C,MEITE',Torino,33,5.64,5.59,0,0,0,0,0,0,1,0,5,0,0
487,2802,C,BARILLA',Parma,26,5.82,5.86,1,0,0,0,0,0,1,0,6,0,0
488,2804,C,SCOZZARELLA,Parma,16,6.17,6.3,0,0,0,0,0,0,1,2,2,0,0
495,2818,C,BENNACER,Milan,31,6.03,5.9,1,0,0,0,0,0,0,0,14,0,0
497,2825,C,BOURABIA,Sassuolo,17,5.68,5.47,1,0,0,0,0,0,1,0,5,1,2
499,2828,C,COLOMBATTO,Cagliari,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
501,2833,C,KULUSEVSKI,Parma,36,6.42,7.43,9,0,0,1,1,0,8,0,3,0,0
502,2835,C,KINGSLEY,Bologna,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0
508,2852,C,RICCARDI,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
510,2854,C,BRADARIC,Cagliari,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
511,2855,C,VIEIRA,Sampdoria,27,5.65,5.46,0,0,0,0,0,0,1,0,11,1,0
512,2857,C,TRAORE' HJ.,Sassuolo,31,6.07,6.48,4,0,0,0,0,0,1,0,3,0,0
521,4228,C,GHEZZAL,Fiorentina,19,5.8,5.83,1,0,0,0,0,0,0,0,5,0,0
524,4287,C,LOBOTKA,Napoli,14,6.12,6.12,0,0,0,0,0,0,0,0,0,0,0
528,4322,C,PAQUETA',Milan,24,5.62,5.5,0,0,0,0,0,0,0,1,7,0,0
532,4327,C,OLIVA,Cagliari,11,6.15,6.5,1,0,0,0,0,0,1,0,1,0,0
533,4330,C,LERAGER,Genoa,21,5.71,5.79,1,0,0,0,0,0,1,0,5,0,0
537,4338,C,JANKOVIC,SPAL,6,5.25,5.25,0,0,0,0,0,0,0,0,1,0,0
539,4349,C,NICOLUSSI CAVIGLIA,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
541,4353,C,MONTIEL,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
543,4362,C,BELOKO,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
544,4364,C,GAETANO,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
548,4370,C,PORTANOVA,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
553,4376,C,ZURKOWSKI,Fiorentina,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
554,4377,C,CASTROVILLI,Fiorentina,33,6.35,6.53,3,0,0,0,0,0,2,0,10,0,0
557,4380,C,BURGIO,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
559,4383,C,ZENNARO,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
560,4384,C,JAGIELLO,Genoa,11,6.0,6.2,0,0,0,0,0,0,1,1,0,0,0
561,4385,C,LAZARO,Inter,6,5.83,5.83,0,0,0,0,0,0,1,0,2,0,0
565,4389,C,ANDERSON A.,Lazio,7,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0
